DES,TYC,STK,SMART,,,,,BOT|4/11/2011|3|-NRB|-NRB
DES,CYH,STK,SMART,,,,,SLD|4/11/2011|2|-NRB|-NRB
DES,SHAW,STK,SMART,,,,,SLD|4/11/2011|2|-NRB|-NRB
DES,EXEL,STK,SMART,,,,,BOT|4/12/2011|3|-NRB|-DD
DES,CYH,STK,SMART,,,,,BOT|4/12/2011|3|-NRB|-DD
DES,THC,STK,SMART,,,,,BOT|4/12/2011|3|-NRB|-DD
DES,AA,STK,SMART,,,,,SLD|4/12/2011|3|-NRB|-DD
DES,FAST,STK,SMART,,,,,SLD|4/12/2011|3|-NRB|-DD
DES,WMS,STK,SMART,,,,,SLD|4/12/2011|3|-NRB|-DD
DES,FFIV,STK,SMART,,,,,BOT|4/13/2011|3|+NRB|-NRB
DES,RVBD,STK,SMART,,,,,BOT|4/13/2011|3|+NRB|-NRB
DES,ADTN,STK,SMART,,,,,BOT|4/13/2011|3|+NRB|-NRB
DES,ARUN,STK,SMART,,,,,BOT|4/13/2011|3|+NRB|-NRB
DES,JPM,STK,SMART,,,,,BOT|4/13/2011|3|+NRB|-NRB
DES,ALV,STK,SMART,,,,,BOT|4/13/2011|3|+NRB|-NRB
DES,TYC,STK,SMART,,,,,SLD|4/13/2011|3|+NRB|-NRB
DES,SVU,STK,SMART,,,,,BOT|4/14/2011|2|+NRB|+NRB
DES,CPWR,STK,SMART,,,,,SLD|4/14/2011|2|+NRB|+NRB
DES,VR,STK,SMART,,,,,SLD|4/14/2011|3|+NRB|+NRB
DES,HAS,STK,SMART,,,,,SLD|4/14/2011|3|+NRB|+NRB
DES,MBI,STK,SMART,,,,,BOT|4/15/2011|2|+NRB|+NRB
DES,AGO,STK,SMART,,,,,BOT|4/15/2011|2|+NRB|+NRB
DES,AMLN,STK,SMART,,,,,BOT|4/15/2011|3|+NRB|+NRB
DES,MPEL,STK,SMART,,,,,BOT|4/15/2011|3|+NRB|+NRB
DES,CBST,STK,SMART,,,,,BOT|4/15/2011|3|+NRB|+NRB
DES,MAT,STK,SMART,,,,,BOT|4/15/2011|3|+NRB|+NRB
